ID,Country,Code
66,Angola,7620
47,Antigua & Barbuda,2484
69,Argentina,3570
38,Aruba,2779
11,Australia,6021
71,Austria,4330
5,Bahamas,2360
20,Barbados,2720
34,Belgium,4231
76,Benin,7610
48,Bermuda,2320
30,Brazil,3510
45,British Virgin Islands,2482
2,Canada,1220
57,Cayman Islands,2440
7,Chile,3370
10,China (Mainland),5700
9,China (Taiwan),5830
15,Colombia,3010
51,Congo (Brazzville),7630
12,Costa Rica,2230
50,Croatia,4791
46,Cuba,2390
67,Curaco,2777
27,Denmark,4099
8,Dominican Republic,2470
49,Ecuador,3310
64,El Salvador,2110
40,Finland,4050
37,France,4279
74,Gabon,7550
85,Georgia,4633
29,"Germany, Fed. Republic",4280
52,Ghana,7490
84,Grenada,2489
21,Guatemala,2050
42,Guyana,3120
26,Haiti,2450
14,Honduras,2150
3,Hong Kong,5820
73,Hungary,4370
62,Iceland,4000
86,India,5330
87,Indonesia,5600
72,Iraq,5050
44,Ireland,4190
78,Israel,5081
25,Italy,4759
22,Jamaica,2410
4,Japan,5880
59,Jordan,5110
43,Kazakhstan,4634
65,Kuwait,5130
58,Lithuania,4510
79,Macao (Macau),5660
60,Malaysia,5570
1,Mexico,2010
83,"Micronesia, Federated States",6820
63,Mozambique,7870
13,Netherlands,4210
16,New Zealand,6141
39,Nicaragua,2190
68,Oman,5230
89,,
70,Pakistan,5350
18,Panama,2250
53,Peru,3330
6,Philippines,5650
55,Poland,4550
80,Portugal,4710
82,Qatar,5180
56,Republic of South Africa,7910
33,Russia,4621
28,Singapore,5590
41,Sint Marteen,2774
17,South Korea,5800
36,Spain,4700
75,St. Lucia,2487
61,Sudan,7321
77,Thailand,5490
24,Trinidad and Tobago,2740
32,Turkey,4890
54,Turks and Caicos Islands,2430
81,Ukraine,4623
19,United Arab Emirates,5200
31,United Kingdom,4120
35,Uruguay,3550
23,Vietnam,5520